"date","region","new_cases","total"
2020-12-29,"Abkhazia",112,8675
2020-12-29,"Tskhinvali Region",18,2370
2020-12-30,"Abkhazia",150,8825
2020-12-30,"Tskhinvali Region",20,2390
2020-12-31,"Abkhazia",95,8920
2020-12-31,"Tskhinvali Region",19,2409
2021-01-01,"Abkhazia",1,8921
2021-01-01,"Tskhinvali Region",0,2409
2021-01-02,"Abkhazia",0,8921
2021-01-02,"Tskhinvali Region",0,2409
2021-01-03,"Abkhazia",129,9050
2021-01-03,"Tskhinvali Region",0,2409
2021-01-04,"Abkhazia",133,9183
2021-01-04,"Tskhinvali Region",0,2409
2021-01-05,"Abkhazia",141,9324
2021-01-05,"Tskhinvali Region",0,2409
2021-01-06,"Abkhazia",141,9465
2021-01-06,"Tskhinvali Region",0,2409
2021-01-07,"Abkhazia",0,9465
2021-01-07,"Tskhinvali Region",0,2409
2021-01-08,"Abkhazia",148,9613
2021-01-08,"Tskhinvali Region",56,2465
2021-01-09,"Abkhazia",169,9782
2021-01-09,"Tskhinvali Region",0,2462
2021-01-10,"Abkhazia",0,9782
2021-01-10,"Tskhinvali Region",0,2462
2021-01-11,"Abkhazia",179,9961
2021-01-11,"Tskhinvali Region",0,2462
2021-01-12,"Abkhazia",141,10102
2021-01-12,"Tskhinvali Region",49,2511
2021-01-13,"Abkhazia",149,10251
2021-01-13,"Tskhinvali Region",37,2548
2021-01-14,"Abkhazia",0,10251
2021-01-14,"Tskhinvali Region",33,2581
2021-01-15,"Abkhazia",127,10378
2021-01-15,"Tskhinvali Region",51,2632
2021-01-16,"Abkhazia",108,10486
2021-01-16,"Tskhinvali Region",0,2705
2021-01-17,"Abkhazia",0,10486
2021-01-17,"Tskhinvali Region",0,2705
2021-01-18,"Abkhazia",122,10608
2021-01-18,"Tskhinvali Region",0,2705
2021-01-19,"Abkhazia",176,10784
2021-01-19,"Tskhinvali Region",0,2705
2021-01-20,"Abkhazia",91,10875
2021-01-20,"Tskhinvali Region",37,2742
